OSEBuildingID	DataYear	NumberofBuildings	NumberofFloors	PropertyGFATotal	PropertyGFABuilding(s)	ENERGYSTARScore	SiteEUI(kBtu/sf)	SiteEUIWN(kBtu/sf)	SourceEUI(kBtu/sf)	SourceEUIWN(kBtu/sf)	SiteEnergyUse(kBtu)	SiteEnergyUseWN(kBtu)	SteamUse(kBtu)	Electricity(kWh)	Electricity(kBtu)	NaturalGas(therms)	NaturalGas(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	Building_Campus	Building_Multifamily HR (10+)	Building_Multifamily LR (1-4)	Building_Multifamily MR (5-9)	Building_NonResidential	Building_Nonresidential COS	Building_SPS-District K-12	Property_College/University	Property_Distribution Center	"Property_Distribution Center
"	Property_High-Rise Multifamily	Property_Hospital	Property_Hotel	Property_K-12 School	Property_Laboratory	Property_Large Office	Property_Low-Rise Multifamily	Property_Medical Office	Property_Mid-Rise Multifamily	Property_Mixed Use Property	Property_Non-Refrigerated Warehouse	Property_Other	Property_Refrigerated Warehouse	Property_Residence Hall/Dormitory	Property_Restaurant	"Property_Restaurant
"	Property_Retail Store	Property_SPS-District K-12	Property_Self-Storage Facility	"Property_Self-Storage Facility
"	Property_Senior Care Community	Property_Small- and Mid-Sized Office	Property_Supermarket/Grocery Store	Property_Worship Facility	DistrictCode_1	DistrictCode_2	DistrictCode_3	DistrictCode_4	DistrictCode_5	DistrictCode_6	DistrictCode_7
26	2015	-0.043936690370628334	0.9648649289876106	2.999030443512255	3.537097560096492	0.4024775015956119	0.8599380313739745	0.8311887260230855	0.5770194809864453	0.5471851502825367	3.565476210580912	3.638666552070191	-0.07067551988677616	2.4597650177138246	2.4597650429401887	5.986997835312213	5.986987092067777	3.6892916880027697	1.0751214849076662	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
27	2015	-0.043936690370628334	2.601504991481611	1.963812054561812	2.3451464663135644	-1.3945239585391325	1.4757305694274974	1.4322795603892764	0.8580989759771659	0.8029775389745466	3.3861334710570983	3.4253436384440374	-0.07067551988677616	1.7091297231448057	1.7091297259383096	7.096549552905422	7.096548442201762	4.183835747346914	2.115769586169252	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
28	2015	-0.043936690370628334	-0.4899262376737229	-0.23261102689355703	-0.18381642914377735	1.1802841037434864	-0.5331048443446661	-0.5076044959743397	-0.5571742650166518	-0.5714293256392381	-0.2579885058748521	-0.25053718659324076	-0.07067551988677616	-0.2688040928046134	-0.2688041230509703	-0.16496810022352482	-0.16496803287687947	-0.18318131124910456	-0.2593566684748382	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
29	2015	-0.043936690370628334	0.23746934565694383	-0.016577291159885845	-0.17015117860700393	0.885254013273603	0.25165515841866526	0.16088137133593927	0.14400512383857836	0.08370461315999914	-0.07914810879888654	-0.09598850392085519	-0.07067551988677616	-0.12723957585967918	-0.12723945924993352	0.09147919728969915	0.091490845632114	-0.017183804422994848	0.03447338364608021	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
30	2015	-0.043936690370628334	0.4193182414896105	0.23708412249773494	0.3569908565817924	-1.3945239585391325	0.46568061371775543	0.6089672660452817	0.20022102283672252	0.2547419118674924	0.3564770563951312	0.4484728545234496	-0.07067551988677616	0.11812726762321354	0.11812726145006254	0.9395185761451504	0.9395147853622237	0.49517316926895233	0.7935343516251192	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
31	2015	-0.043936690370628334	-0.4899262376737229	-0.15921135571176714	-0.0993040023145531	-1.3945239585391325	-0.615711160425017	-0.6697168725155245	-0.5138728293018651	-0.5637937319469393	-0.26281625558821914	-0.27426004157432887	-0.07067551988677616	-0.21851504613308623	-0.21851511370976698	-0.293392930524102	-0.2933928549005995	-0.24641963809109438	-0.5654296394341282	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
32	2015	-0.043936690370628334	0.6011671373222772	0.4512421481912021	0.3706868500894023	-1.3945239585391325	-0.178273168454069	-0.20341610403750976	-0.5837628658941524	-0.6157157690545713	0.015080603628095872	0.018033483836538144	-0.07067551988677616	-0.30874214610385575	-0.3087422284750056	0.8016500474866798	0.8016540761663331	0.3483778848734821	0.3527892734437418	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
33	2015	-0.043936690370628334	0.9648649289876106	0.5392870429609192	0.41072956960379464	-0.8581056122302535	0.600854585485602	0.5324647962168574	0.3855815546684411	0.32193513635972193	0.4475257406619371	0.43524839527365233	-0.07067551988677616	0.2425999319909452	0.24259992717354684	0.9524178633758572	0.9524154918665083	0.522785667415337	0.4507326241507146	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
34	2015	-0.043936690370628334	-0.6717751335063896	0.23546874232076212	0.3551309068461911	0.13426832844117248	-0.07126044080452376	0.12627311117546178	-0.3672556873202189	-0.27745896848573415	0.09791138996284648	0.21444826642964573	-0.07067551988677616	-0.16114131795498732	-0.1611415048940774	0.7362305430726004	0.736230552337858	0.336171821002843	0.5425545154385016	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
35	2015	-0.043936690370628334	0.055620449824277135	-0.15129465781966064	-0.2146977433489268	0.2147310803875043	0.6947253992132733	0.6016813165378126	0.46762638023329994	0.42272497309806606	-0.045179559178386064	-0.06024303770739399	-0.07067551988677616	-0.1249741609244086	-0.12497405277064864	0.1955018897281504	0.1954915197400697	0.041092707837434336	0.43236824589315714	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
36	2015	-0.043936690370628334	-0.4899262376737229	0.46438546872202646	0.6187057673119438	0.7511494266963832	-0.27402139845629364	-0.11962768470161646	-0.5313453384499369	-0.469875929531664	0.10561191054984663	0.2311626725787401	-0.07067551988677616	-0.1846909877377334	-0.18469096018809047	0.8138392822092743	0.8138392864727231	0.37551901063461857	0.3650321922821134	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
37	2015	-0.043936690370628334	-0.4899262376737229	-0.2636236562415559	-0.21952438977023933	1.1266422691125983	-0.5030661839518114	-0.49121110958253444	-0.3702943845633619	-0.32785388685490635	-0.25663787094244744	-0.2529666836227344	-0.07067551988677616	-0.20967888490992972	-0.209678837397276	-0.293392930524102	-0.2933928549005995	-0.244955902789534	-0.5531867205957566	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
